"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
728.1216,"3/4"" ", $185.30 , $157.51 , $83.39 , $75.00 ,,,72804,,,,,
728.1316,"13/16"" ", $187.86 , $159.68 , $84.54 , $76.08 ,,,72809,,,,,
728.1416,"14/16"" ", $195.60 , $166.26 , $88.02 , $79.22 ,,,72810,,,,,
728.1516,"15/16"" ", $198.20 , $168.47 , $89.19 , $80.27 ,,,72811,,,,,
728.1616,"1""", $214.00 , $181.90 , $96.30 , $86.67 ,,,72812,,,,,
728.1716,"1-1/16"" ", $224.05 , $190.44 , $100.82 , $90.74 ,,,72813,,,,,
728.1816,"1-1/8"" ", $261.71 , $222.45 , $117.77 , $105.99 ,,,72814,,,,,
,,,,,,,,,,,,,
MAG730 TIMBER/ARBORISTS'S Bits,,,,,,,,,,,,,
"30"" Oal, 26"" twin flutes, two spurs, 7/16"" Hex QC Shank",,,,,,,,,,,,,
730.0916,"9/16""", $150.27 , $127.73 , $67.62 , $60.86 ,,,73001,,,,,
730.1016,"5/8""", $151.79 , $129.02 , $68.31 , $61.48 ,,,73002,,,,,
730.1116,"11/16""", $155.16 , $131.89 , $69.82 , $62.84 ,,,73003,,,,,
730.1216,"3/4""", $156.59 , $133.10 , $70.46 , $63.42 ,,,73004,,,,,
730.1316,"13/16""", $159.65 , $135.70 , $71.84 , $64.66 ,,,73005,,,,,
730.1416,"7/8""", $167.75 , $142.59 , $75.49 , $67.94 ,,,73006,,,,,
730.1516,"15/16""", $168.73 , $143.42 , $75.93 , $68.34 ,,,73007,,,,,
730.1616,"1""", $175.97 , $149.57 , $79.18 , $71.27 ,,,73008,,,,,
730.1716,"1-1/16""", $196.17 , $166.74 , $88.27 , $79.45 ,,,73009,,,,,
730.1816,"1-1/8""", $227.03 , $192.98 , $102.16 , $91.95 ,,,73010,,,,,
730.2416,"1-1/2""", $473.59 , $402.55 , $213.12 , $191.81 ,,,73013,,,,,
,,,,,,,,,,,,,
MAG760 TIMBER BIT/ARBORISTS BIT,,,,,,,,,,,,,
"60"" OAL, 24"" Twin Flutes, Two Spurs, 1/2"" Round Shank with 3 Flats",,,,,,,,,,,,,
730.0916,"9/16""", $262.66 , $223.26 , $118.20 , $106.38 ,,,73001,,,,,
730.1016,"5/8""", $283.85 , $241.27 , $127.73 , $114.96 ,,,73002,,,,,
,,,,,,,,,,,,,
"MAG792 SPADE BITS - 6"" AOL",,,,,,,,,,,,,
792.0416,"1/4""", $3.03 , $2.57 , $1.36 , $1.23 ,,,79222,,,,,
792.0516,"5/16""", $3.19 , $2.71 , $1.44 , $1.29 ,,,79223,,,,,
792.0616,"3/8""", $3.24 , $2.75 , $1.46 , $1.31 ,,,79224,,,,,
792.0716,"7/16""", $3.38 , $2.87 , $1.52 , $1.37 ,,,79225,,,,,
792.0816,"1/2""", $3.59 , $3.05 , $1.62 , $1.45 ,,,79226,,,,,
792.0916,"9/16""", $4.30 , $3.66 , $1.94 , $1.74 ,,,79227,,,,,
792.1016,"5/8""", $4.44 , $3.77 , $2.00 , $1.80 ,,,79228,,,,,
792.1116,"11/16""", $4.65 , $3.95 , $2.09 , $1.88 ,,,79229,,,,,
