,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date: 05/13/22,,,,,CUSTOMER PRICE BOOK,,,,,,,,,,,,,,,
M & M ELECTRICAL SUPPLY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Item Category Code,Item No.,,UPC Code,Description,,Price/E,List Price/E,Item Multipl. Group,,,Master Qty,Inner Qty,,,,,,,,
PVC,1058,,751338230583,"3"" PVC 45DEG ELBOW PLAIN END 8-PK",,12.0511,32.1363,PVC,,,8,8,,,,,,,,
PVC,105880,,751338853850,"3"" PVC 45DEG ELBOW SCH 80 PLAIN END- 8-PK",,26.4560,70.5492,PVC,,,8,8,,,,,,,,
PVC,1059,,751338230590,"3-1/2"" PVC 45DEG ELBOW PLAIN END 5-PK",,14.4045,38.4120,PVC,,,5,5,,,,,,,,
BX-FLEX-MC,105I,,751338103917,"1-1/2""FLEX 90DEG CON INS 5-PK",,22.0529,59.6025,FLXCN90,,,5,5,,,,,,,,
BX-FLEX-MC,105M,,751338105508,"1-1/2"" FLEX 90 MAL 5-PK",,20.8770,56.4242,FLXCNM90,,,5,5,,,,,,,,
BX-FLEX-MC,105MI,,751338105515,"1-1/2""FLEX.90DEG.MAL.INS.CONN.5-PK",,26.0962,70.5303,FLXCNM90,,,5,5,,,,,,,,
BX-FLEX-MC,106,,751338104006,"2"" FLEX 90DEG CONN  5-PK",,22.7716,61.5449,FLXCN90,,,5,5,,,,,,,,
PVC,1060,,751338234055,"4"" PVC 45DEG ELBOW PLAIN END 20-PK",,22.5179,60.0477,PVC,,,20,20,,,,,,,,
PVC,106080,,751338863897,"4"" PVC 45DEG ELBOW SCH 80 PLAIN END-20-PK",,55.9392,149.1713,PVC,,,20,20,,,,,,,,
PVC,1060A,,751338230613,"5"" PVC 45DEG ELBOW PLAIN END - 1PK",,38.9389,103.8371,PVC,,,1,1,,,,,,,,
PVC,1060A80,,751338863903,"5"" PVC 45DEG ELBOW SCH 80 PLAIN END 1-PK",,90.6956,241.8548,PVC,,,1,0,,,,,,,,
PVC,1060B,,751338230620,"6"" PVC 45 DEGREE PLAIN END ELBOW - 1PK",,55.1631,147.1017,PVC,,,1,1,,,,,,,,
PVC,1060B80,,751338839984,"6"" PVC 45DEG PLAIN ELBOW SCH 80",,172.7535,460.6760,PVC,,,1,1,,,,,,,,
PVC,1061,,751338230637,"1/2"" PVC 2-HOLE STRAP 300-PK",,0.3113,0.8300,PVC,,,300,300,,,,,,,,
PVC,1062,,751338230644,"3/4"" PVC 2-HOLE STRAP 200-PK",,0.3611,0.9630,PVC,,,200,200,,,,,,,,
PVC,1063,,751338230651,"1"" PVC 2-HOLE STRAP 200-PK",,0.4469,1.1916,PVC,,,200,200,,,,,,,,
PVC,1064,,751338230668,"1-1/4"" PVC 2-HOLE STRAP 200-PK",,0.5444,1.4516,PVC,,,200,200,,,,,,,,
PVC,1065,,751338230675,"1-1/2"" PVC 2-HOLE STRAP 200PK",,0.6177,1.6473,PVC,,,200,200,,,,,,,,
PVC,1066,,751338230682,"2"" PVC 2-HOLE STRAP 200-PK",,0.6844,1.8251,PVC,,,200,200,,,,,,,,
PVC,1067,,751338230699,"2-1/2"" PVC 2-HOLE STRAP 100PK",,2.2230,5.9281,PVC,,,100,100,,,,,,,,
PVC,1068,,751338234062,"3"" PVC 2-HOLE STRAP 100-PK",,3.2120,8.5652,PVC,,,100,100,,,,,,,,
BX-FLEX-MC,106I,,751338104013,"2"" FLEX 90DEG CONN INS 5-PK",,25.4834,68.8740,FLXCN90,,,5,5,,,,,,,,
