,,,,,,,,,,,,,,,,,
"Ordering
Number",Model No. Reference,Description,FX UL Rating,UPC Code,Master Ctn Qty,Pallet Qty,"E3
Opening Price - NEW","E3
Qty 1 - NEW","E3
Qty 2 - NEW",,,,,,,,
,,,,,,,,,,,,,,,,,
Smoke Alarms,,,,,,,,,,,,,,,,,
120V AC/DC,,,,,,,1-287,288-755,756 +,,,,,,,,
21007268,KN-COB-B-LS,Nighthawk Battery Operated -  Basic with no display - Clamshell,-,0 47871 07268 2,4,300, $19.64 , $19.40 , $19.18 ,,,,,,,,
21008873,KN-COPP-B-LPM,Battery Operated - Peak Level Memory - Digital Display (900-0146-LP),-,0 47871 08873 7,4,300, $24.54 , $24.26 , $23.97 ,,,,,,,,
21025778,KN-COB-LP2,Battery Operated Basic CO (9CO5-LP2) - clamshell,-,0 47871 08872 0,3,333, $17.71 , $17.51 , $17.30 ,,,,,,,,
21026458,KN-COB-LP2,Battery Operated Basic CO (9CO5-LP2) - boxed,-,0 47871 26458 2,6,1260, $17.57 , $17.37 , $17.16 ,,,,,,,,
,,Bulk Packs,,,,,1-47,48-125,126 +,,,,,,,,
21025788,KN-COB-LP2,"Basic CO, DC Powered, 2AA (9CO5-LP2) (6 pc Bulk)",-,0 47871 08908 6,6,260, $91.73 , $91.73 , $91.73 ,,,,,,,,
21006974,KN-COSM-BA,DC Smoke/CO Combination Alarm - Verbal Warning (900-0102A) (6 pc Bulk),-,0 47871 05296 7,6,126, $154.79 , $154.79 , $154.79 ,,,,,,,,
21006973,KN-COPP-3,AC/DC Plug-in - 9V backup - Digital Display - Peak Level (900-0076) (6 pc Bulk),-,7 84908 00760 5,6,126, $173.71 , $173.71 , $173.71 ,,,,,,,,
21025761,KN-COB-DP2,AC/DC - Plug-in w/ Battery Backup - Theft-Deterrent  (900-0263) (6 pc Bulk),-,0 47871 25761 4,6,126, $99.75 , $99.75 , $99.75 ,,,,,,,,
,,,,,,,,,,,,,,,,,
Kidde Power Supplies,,,,,,,,,,,,,,,,,
9 Volt and AA,,,,,,,1-47,48-125,126 +,,,,,,,,
21026967,,"Kidde 9V alarm replacement batteries, 2pk. blister",-,0 47871 10334 8,5,1800, $5.84 , $5.76 , $5.70 ,,,,,,,,
21026968,,"Kidde AA alarm replacement batteries, 4pk. blister",-,0 47871 10335 5,5,1800, $3.36 , $3.32 , $3.28 ,,,,,,,,
,,,,,,,,,,,,,,,,,
Auxiliary Devices,,,,,,,,,,,,,,,,,
Supplementary Devices,,,,,,,1-287,288-755,756 +,,,,,,,,
HD135F,HD135F,135° Heat Detector - 120V AC w/9V backup,-,0 25417 84135 0,6,720, $17.37 , $17.37 , $17.37 ,36.45,34.85,32.95,29.65,,,,HD  39.97
21010206,HD200F,200° Heat Detector - Thermal sensor for attic use (HD200F),-,0 47871 10206 8,6,1680, $10.89 , $10.76 , $10.64 ,,,,,,,,
SL177i,SLED177i,Hearing Impaired LED 177cd Light - Interconnectable,-,0 47871 24003 6,3,504, $64.33 , $63.59 , $62.83 ,,,,,,,,
SM120X,SM120X,Relay Module for I-Combo units(Smoke alarm),-,0 47871 00123 1,6,2520, $6.87 , $6.78 , $6.70 ,13.74,,,,,,,
CO120X,CO120X,Relay Module for I-Combo units(CO Alarms),-,0 47871 61207 9,6,2520, $9.64 , $9.52 , $9.42 ,,,,,,,,
21027648,-,"Detection Dust/Paint Plastic Cover, 6 pack",-,0 47871 27648 6,6,-, $4.65 , $4.60 , $4.55 ,,,,,,,,
Wiring Adapters,,,,,,,1-287,288-755,756 +,,,,,,,,
21028270,KA-F2,AC Plug In Adapter For retro fit from Firex to Kidde (order in multiples of 25),-,0 47871 00149 1,25,900, $2.95 , $2.92 , $2.88 ,,,,,,,,
21028268,KA-B2,AC Plug In Adapter For retro fit from BRK to Kidde (order in multiples of 25),-,0 47871 00150 7,25,900, $2.95 , $2.92 , $2.88 ,,,,,,,,
21028461,KA-F2 / KA-B2,Adapter Clam Shell 2 pack - one BRK/one Firex,-,0 47871 28461 0,12,1728,,,,,,,,,,,
Radon and Mold Kits,,,,,,,1-287,288-755,756 +,,,,,,,,
442020,442020,Radon Kit ,-,0 47871 42020 9,6,1500, $15.31 , $15.14 , $14.96 ,,,,,,,,
442057,442057,Mold Kit ,-,0 47871 42057 5,6,1500, $8.94 , $8.83 , $8.73 ,,,,,,,,
,,,,,,,,,,,,,,,,,
Fire Extinguishers,,,,,,,,,,,,,,,,,
Disposable Extinguishers,,,,,,,1-23,24-47,48 +,,,,,,,,
21008173MTL,RESSP,"711A Rated, 2.5# White Kitchen - with Wall Hook, Disposable",711A,0 47871 08746 4,6,234, $20.03 , $19.23 , $18.47 ,,,,,,,,
21005944MTL,FA5B,"5-B:C, 2# - nylon strap bracket, Disposable",5-B:C,047871270125,6,270, $16.39 , $15.73 , $15.11 ,,,,,,,,
466141MTL,KG Plus,"10-B:C, 2.9# - with nylon strap bracket, Disposable",10-B:C,047871270019,6,234, $18.22 , $17.49 , $16.80 ,,,,,,,,
466142MTL,FA110,"1-A, 10-B:C, 2.5# - with nylon strap bracket, Disposable","1-A,10-B:C",047871270026,6,234, $20.22 , $19.40 , $18.65 ,,,,,,,,
21030242,FA110,"1-A, 10-B:C, 2.5# - with nylon strap bracket, Disposable","1-A,10-B:C",047871270026,6,234, $20.22 , $19.40 , $18.65 ,,,,,,,,
21010207MTL,FA110,"1-A, 10-B:C, 2.5# - with metal strap bracket, Disposable","1-A,10-B:C",047871270316,6,234, $24.05 , $23.09 , $22.18 ,,,,,,,,
21005771P,FX210R,"2-A, 10-B:C, 4# - with Wall Hook - Disposable PE box, White","2-A,10-B:C",047871270576,4,112, $33.00 , $31.68 , $30.43 ,,,,,,,,
21006204P,FX340SC,"3-A, 40-B:C, 5.5# - with Wall Hook, Disposable COM box","3-A,40-B:C",047871270521,4,112, $37.70 , $36.19 , $34.76 ,,,,,,,,
21010260MTL,FA110,"1-A, 10-B:C Rated TWIN Pack, 2.5# Red Multi-purpose, Disposable","1-A,10-B:C",047871270156,32,32, $39.92 , $38.32 , $36.82 ,,,,,,,,
"ABC - ""Tri-Class"" PRO Line - Metal Valve - Rechargeable",,,,,,,1-23,24-47,48 +,,,,,,,,
466227,PRO2.5MP,"1-A, 10-B:C, 2.6# - with Wall Hook, Rechargeable","1-A,10-B:C",0 47871 66227 2,6,144, $35.56 , $34.13 , $32.79 ,,,,,,,,
46622701,PRO2.5MP-V,"1-A, 10-B:C, 2.6# - with metal strap bracket, Rechargeable","1-A,10-B:C",0 47871 22701 3,6,144, $37.59 , $36.09 , $34.66 ,,,,,,,,
466112,PRO5MP,"3-A, 40-B:C, 5.5# with wall hook, Rechargeable","3-A,40-B:C",0 47871 66112 1,4,112, $45.86 , $44.02 , $42.28 ,,,,,,,,
466204,PRO10MP,"4-A, 60-B:C, 10# - with Wall Hook, Rechargeable","4-A,60-B:C",0 47871 66204 3,1,70, $70.37 , $67.55 , $64.90 ,,,,,,,,
466206,PRO20MP,"6-A, 80-B:C, 20# - with Wall Hook, Rechargeable","6-A,80-B:C",0 47871 66206 7,1,50, $123.40 , $118.46 , $113.81 ,,,,,,,,
21005776,Pro 110,"1-A, 10-B:C, 2.6# - with Wall Hook, Rechargeable","1-A,10-B:C",0 47871 05776 4,4,200, $43.55 , $41.81 , $40.16 ,,,,,,,,
21005779,Pro 210,"2-A, 10-B:C, 4# - with Wall Hook, Rechargeable","2-A,10-B:C",0 47871 05779 5,4,122, $43.55 , $41.81 , $40.16 ,,,,,,,,
21005782,Pro 340,"3-A, 40-B:C, 5.5# - with Wall Hook, Rechargeable","3-A,40-B:C", 0 47871 05782 5 ,1,112, $45.86 , $44.02 , $42.28 ,,,,,,,,
"ABC ""Tri-Class"" Extra Line - Metal Valve - Rechargeable",,,,,,,1-23,24-47,48 +,,,,,,,,
468000,ProPlus2.5 MP,"1-A, 10-B:C, 2.6#  - metal strap bracket, Rechargeable","1-A,10-B:C",0 47871 68000 4,6,144, $39.96 , $38.36 , $36.85 ,,,,,,,,
468001,ProPlus5MP,"3-A, 40-B:C, 5#  - with Wall Hook, Rechargeable","3-A,40-B:C",0 47871 68001 6,1,120, $56.01 , $53.77 , $51.66 ,,,,,,,,
468002,ProPlus10MP,"4-A, 80-B:C, 10#  - with Wall Hook, Rechargeable","4-A,80-B:C",0 47871 68002 3,1,80, $100.57 , $96.56 , $92.75 ,,,,,,,,
468003,ProPlus20MP,"6-A, 120-B:C, 20#  - with Wall Hook, Rechargeable","6-A,120-B:C",0 47871 68003 0,1,50, $139.12 , $133.55 , $128.29 ,,,,,,,,
CO2 - Pro Line,,,,,,,1-23,24-47,48 +,,,,,,,,
466180,PRO5CD,"5-B:C, 5# - with Wall Hook, Rechargeable",5-B:C,0 47871 66180 0,1,60, $147.71 , $141.80 , $136.22 ,,,,,,,,
466181,PRO10CD,"10-B:C, 10# - with Wall Hook, Rechargeable",10-B:C,0 47871 66181 7,1,30, $204.19 , $196.03 , $188.32 ,,,,,,,,
466182,PRO15CD,"10-B:C, 15# - with Wall Hook, Rechargeable",10-B:C,0 47871 66182 4,1,24, $252.68 , $242.58 , $233.04 ,,,,,,,,
466183,PRO20CD,"10-B:C, 20# - with Wall Hook, Rechargeable",10-B:C,0 47871 66183 1,1,24, $299.08 , $287.11 , $275.81 ,,,,,,,,
Halotron - Pro Plus,,,,,,,1-23,24-47,48 +,,,,,,,,
466727,ProPlus2.5H,"2-B:C, 2.5# - with Wall Hook, Rechargeable",2-B:C,0 47871 66727 7,6,144, $134.72 , $129.33 , $124.24 ,,,,,,,,
466728,ProPlus5H,"5-B:C, 5# - with Wall Hook, Rechargeable",5-B:C,0 47871 66728 4,1,120, $229.00 , $219.83 , $211.19 ,,,,,,,,
466729,ProPlus10H,"1-A, 10-B:C, 11# - with Wall Hook, Rechargeable","1-A,10-B:C",0 47871 66729 1,1,60, $598.31 , $574.39 , $551.78 ,,,,,,,,
466730,ProPlus15.5H ,"2-A, 10-B:C, 15.5# - with Wall Hook, Rechargeable","2-A,10-B:C",0 47871 66730 7,1,60, $905.97 , $869.72 , $835.50 ,,,,,,,,
Water/Wet Chemical - Pro Plus,,,,,,,1-23,24-47,48 +,,,,,,,,
466403,Pro2.5W,"2-A, 2-A, 2.5 Gallon Water - with Wall Hook, Rechargeable",2-A,0 47871 66403 0,1,60, $111.32 , $106.86 , $102.66 ,,,,,,,,
25074,ProPlus6L-K ,"Class K, Class K / 6  Liter Factory-Filled Unit, Rechargeable",Class K,-,1,50, $177.00 , $169.93 , $163.24 ,,,,,,,,
Auto/Marine Extinguishers,,,,,,,1-23,24-47,48 +,,,,,,,,
21006287MTL,Auto FX 5 II,"5-B:C, 2# - with nylon strap bracket - white, Disposable",5-B:C,047871270132,4,300, $18.29 , $17.56 , $16.87 ,,,,,,,,
,,,,,,,,,,,,,,,,,
Cabinets / Ladders / Brackets,,,,,,,,,,,,,,,,,
Fire Extinguisher Cabinets,,,,,,,1-23,24-47,48 +,,,,,,,,
468041,KF9721C,5 lb. Surface ,-,0 47871 68041 2,1,60, $34.82 , $33.42 , $32.11 ,,,,,,,,
468042,KF9722C,10 lb. Surface,-,0 47871 68042 9,1,40, $46.33 , $44.47 , $42.72 ,,,,,,,,
468043,KF9723C,20 lb. Surface,-,0 47871 68043 6,1,20, $71.80 , $68.93 , $66.21 ,,,,,,,,
468044,KF9731C,5 lb. Semi Recessed,-,0 47871 68044 3,1,36, $56.22 , $53.97 , $51.84 ,,,,,,,,
468045,KF9732C,10 lb. Semi Recessed,-,0 47871 68045 0,1,20, $75.86 , $72.82 , $69.96 ,,,,,,,,
468046,KF7008B,"5 lb. Semi Recessed, Locked",-,0 47871 68046 7,1,24, $84.26 , $80.88 , $77.70 ,,,,,,,,
468047,KF7022B,"10 lb. Semi Recessed, Locked",-,0 47871 68047 4,1,28, $104.31 , $100.13 , $96.20 ,,,,,,,,
Escape Ladders,,,,,,,1-23,24-47,48 +,,,,,,,,
468093,KL-2S,2 Story Fire Escape Ladder,-,0 47871 68093 1,2,48, $64.41 , $61.83 , $59.40 ,,,,,,,,
468094,KL-3S,3 Story Fire Escape Ladder,-,0 47871 68094 8,2,36, $106.19 , $101.93 , $97.92 ,,,,,,,,
,,,,,,,,,,,,,,,,,
KeySafe Lock Products,,,,,,,,,,,,,,,,,
Key Cabinet Pro,,,,,,,1-23,24-47,48 +,,,,,,,,
001797,CAB,"Key Cabinet Pro, 120 key TouchPoint",box,0 90928 01797 6,2,, $96.80 , $92.93 , $89.28 ,,,,,,,,
001796,CAB,"Key Cabinet Pro, 60 key TouchPoint",box,0 90928 01796 9,2,, $66.87 , $64.20 , $61.67 ,,,,,,,,
001795,CAB,"Key Cabinet Pro, 30 key TouchPoint",box,0 90928 01795 2,3,, $45.49 , $43.67 , $41.94 ,,,,,,,,
