"MFR
No",Item,"Catalog
No",DESCRIPTION,"Quantity
Standard Pkg","Unit
Measure",DIST PRICE,TRADE PRICE,,,,
780730,10605,605,"1 1/2"" EMT 2 HOLE STRAP",50,C,$15.49,$30.98 ,,,,
780730,10606,606,"2 "" EMT 2 HOLE STRAP",50,C,$25.99,$51.98 ,,,,
780730,10626,626,"1/2"" RIGID 2 HOLE STRAP",100,C,$6.25,$12.50 ,,,,
780730,10627,627,"3/4"" RIGID 2 HOLE STRAP",100,C,$8.02,$16.04 ,,,,
780730,10628,628,"1"" RIGID 2 HOLE STRAP",50,C,$12.40,$24.80 ,,,,
780730,10629,629,"1 1/4"" RIGID 2 HOLE STRAP",50,C,$15.32,$30.64 ,,,,
780730,10630,630,"1 1/2"" RIGID 2 HOLE STRAP",50,C,$25.00,$50.00 ,,,,
780730,10631,631,"2"" RIGID 2 HOLE STRAP",50,C,$39.00,$78.00 ,,,,
780730,10632,632,2 1/2 EMT/RIGID 2 HOLE STRAP,25,C,$54.00,$108.00 ,,,,
780730,10633,633,"3"" EMT/RIGID 2 HOLE STRAP",25,C,$78.75,$157.50 ,,,,
780730,10634,634,"3 1/2"" EMT /RIGID 2 HOLE STRAP",25,C,$88.00,$176.00 ,,,,
780730,10635,635,"4 "" EMT /RIGID 2 HOLE STRAP",25,C,$95.44,$190.88 ,,,,
780730,00636,636,"5"" EMT / RIGID 2 HOLE STRAP",5,C,$876.70,"$1,753.40 ",,,,
780730,00637,637,"6"" EMT / RIGID 2 HOLE STRAP",5,C,$996.20,"$1,992.40 ",,,,
780730,10641,641,4 11/16 BLANK COVER,100,C,$64.00,$128.00 ,1.48,,,
780730,10642,642,"4"" SQ BLANK COVER",100,C,$46.00,$92.00 ,,,,
780730,10643,643,"4"" OCT BLANK COVER",100,C,$36.00,$72.00 ,,,,
780730,18000,644,"4""  SQ 1 TOGGLE SW CVR",50,C,$97.80,$195.60 ,,,,
780730,18002,645,"4""  SQ 2 TOGGLE CVR",50,C,$97.80,$195.60 ,,,,
780730,18004,646,"4"" SQ 1 TOGGLE 1 DUPLEX CVR",50,C,$97.80,$195.60 ,,,,
780730,18005,647,"4"" SQ 1 DUPLEX CVR",50,C,$97.80,$195.60 ,,,,
780730,18006,648,"4"" SQ 2 DUPLEX CVR",50,C,$97.80,$195.60 ,,,,
780730,18007,649,"4"" SQ 30-50 AMP RECPT CVR",50,C,$109.15,$218.30 ,,,,
780730,18008,650,"4"" SQ 1 GFCI/DECORA CVR",50,C,$97.80,$195.60 ,,,,
780730,18009,651,"4"" SQ 2 GFCI/DECORA CVR",50,C,$104.55,$209.10 ,,,,
780730,99652,652,"4"" SQ 1 SINGLE RECTP 1 13/32 "" DIA REC CVR",50,C,$104.55,$209.10 ,,,,
780730,99653,653,"4""SQ 2 SINGLE REC 1 13/32"" DIA REC CVR",50,C,$104.55,$209.10 ,,,,
