Pricing File,,,,,,,,,,,,,,,,,,,,,
Pricing Type,Item Number,Item Description,UPC Code,Pricing Customer,SPA or CDC,Start Date,End Date,Currency Code,Quantity Break1,Price Break1,Quantity Break2,Price Break2,Quantity Break3,Price Break3,Quantity Break4,Price Break4,Quantity Break5,Price Break5,,,
Region Pricing 250,ET2805CR,"T/S-ELEC,1CH,ASTRO,3R STL ENCL",078275148215,0,,20220404,99999999,USD,1,228.21,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2815C,"T/S-ELEC,1XSPDT,ASTRO,INDOOR",078275148239,0,,20220404,99999999,USD,1,215.87,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2815CP,"T/S-ELEC,1XSPDT,ASTRO,3R PLAS",078275148253,0,,20220404,99999999,USD,1,237.45,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2815CR,"T/S-ELEC,1XSPDT,ASTRO,3R STL",078275148246,0,,20220404,99999999,USD,1,239.61,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2825C,"T/S-ELEC,2CH,T1 ENCL",078275147690,0,,20220404,99999999,USD,1,231.25,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2825CP,"T/S-ELEC,2CH,3R PLASTIC ENCL",078275147713,0,,20220404,99999999,USD,1,254.38,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2825CR,"T/S-ELEC,2CH,3R STEEL ENCL",078275147706,0,,20220404,99999999,USD,1,256.7,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2845C,"T/S-ELEC,4CH,INDOOR ENCL",078275147737,0,,20220404,99999999,USD,1,385.18,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2845CP,"T/S-ELEC,4CH,3R PLASTIC ENCL",078275147751,0,,20220404,99999999,USD,1,423.69,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET2845CR,"T/S-ELEC,4CH,3R STEEL ENCL",078275147744,0,,20220404,99999999,USD,1,427.55,0,0,0,0,0,0,0,0,,,
Customer Discount,ET8015C,ELECTRONIC T/S SPST ASTRO,078275089754,0,D2,20220404,20221231,USD,1,201.16,0,0,0,0,0,0,0,0,,,
Customer Discount,ET8215C,ELECTRONIC T/S DPST ASTRO,078275089761,0,D2,20220404,20221231,USD,1,226.28,0,0,0,0,0,0,0,0,,,
Customer Discount,ET8415CR,ELECTRONIC T/S-4 CHANNEL,078275125544,0,D2,20220404,20221231,USD,1,351.53,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90115C,1 CKT TIME SW / INDOOR,078275124837,0,D2,20220404,20221231,USD,1,362.84,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET90115CE,1 CKT TIME SW/INDOOR W/ETH,078275124851,0,,20220404,99999999,USD,1,429.53,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET90115CR,1 CKT TIME SW / OUTDOOR,078275124844,0,,20220404,99999999,USD,1,390.9,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90115CRE,1 CKT TIME SW/OUTDOOR W/ETH,078275124868,0,D2,20220404,20221231,USD,1,493.44,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90215C,2 CKT TIME SW / INDOOR,078275124875,0,D2,20220404,20221231,USD,1,435.4,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90215CE,2 CKT TIME SW/INDOOR W/ETH,078275124899,0,D2,20220404,20221231,USD,1,522.47,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90215CR,2 CKT TIME SW / OUTDOOR,078275124882,0,D2,20220404,20221231,USD,1,478.92,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET90215CRE,2 CKT TIME SW/OUTDOOR W/ETH,078275124905,0,,20220404,99999999,USD,1,540.39,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90415CR,4 CKT TIME SW/OUTDOOR W/ETH,078275124912,0,D2,20220404,20221231,USD,1,914.3,0,0,0,0,0,0,0,0,,,
Customer Discount,ET90815CR,8 CKT TIME SW/OUTDOOR W/ETH,078275124929,0,D2,20220404,20221231,USD,1,1639.97,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET9100,ET90000 DOOR ASSEMBLY,078275127753,0,,20220404,99999999,USD,1,293.16,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET91215CR,12 CKT TIME SW/OUTDOOR W/ETH,078275124936,0,,20220404,99999999,USD,1,2022.83,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET91615CR,16 CKT TIME SW/OUTDOOR W/ETH,078275124943,0,,20220404,99999999,USD,1,2389.27,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET9232,ET90000 ETHERNET MODULE,078275127739,0,,20220404,99999999,USD,1,97.69,0,0,0,0,0,0,0,0,,,
Region Pricing 250,ET9250,ET90000 RELAY MODULE BOARD,078275127746,0,,20220404,99999999,USD,1,769.55,0,0,0,0,0,0,0,0,,,
Customer Discount,E1010,IN WALL TIME-ALL,078275440005,0,D2,20220404,20221231,USD,1,48.43,0,0,0,0,0,0,0,0,,,
Region Pricing 250,E1020,IN WALL MULTIPLE TRIPPER,078275440203,0,,20220404,99999999,USD,1,48.66,0,0,0,0,0,0,0,0,,,
Region Pricing 250,E200,OUTDOOR ENCLOSURE,078275155657,0,,20220404,99999999,USD,1,28.58,0,0,0,0,0,0,0,0,,,
