Customer:,,,,,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
Account Number:,,,,,,,,,,,,,,,,,,,,,
Agreement Number:,,,,,P51214A,,,,,,,,,,,,,,,,
Effective Date:,,,,,8/1/2022,,,,,,,,,,,,,,,,
x,,,,,Price shown in Column K is the Net Price after SPA discount per each. ,,,,,,,,,,,,,,,,
x,,,,,"Net price calculated using VPG discount off price sheet in effect.  Net prices expire with the cancellation date of the August 1, 2022 price sheet.",,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
Catalog No.,Stock,Shelf Ctn.,Breakable,UPC #,VPG,VPG % Disc, Net Dist. Price ,Calculated,Rounded SPA Price,Distributor Net Price Per Each,Product Description,,,,,,,,,,
ECNR1.25,N,10,Never,782634507109,DX,65.00%, $18.20 , $6.3700 ,$6.37 ,$6.37 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR1.8,N,10,Never,782634507130,DX,65.00%, $19.22 , $6.7270 ,$6.73 ,$6.73 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR1.5,N,10,Never,782634506966,DX,65.00%, $16.34 , $5.7190 ,$5.72 ,$5.72 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR17.5,N,10,Never,782634507314,DX,65.00%, $11.26 , $3.9410 ,$3.94 ,$3.94 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR175,S,1,Never,782634507475,DX,65.00%, $95.58 , $33.4530 ,$33.45 ,$33.45 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR2,S,10,Never,782634507147,DX,65.00%, $14.31 , $5.0085 ,$5.01 ,$5.01 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR2.25,N,10,Never,782634507154,DX,65.00%, $18.39 , $6.4365 ,$6.44 ,$6.44 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR1.6,N,10,Never,782634507123,DX,65.00%, $15.23 , $5.3305 ,$5.33 ,$5.33 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR10,S,10,Never,782634507284,DX,65.00%, $13.09 , $4.5815 ,$4.58 ,$4.58 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR110,S,1,Never,782634507444,DX,65.00%, $104.78 , $36.6730 ,$36.67 ,$36.67 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR6,S,10,Never,782634506980,DX,65.00%, $15.50 , $5.4250 ,$5.43 ,$5.43 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR125,S,1,Never,782634507451,DX,65.00%, $95.58 , $33.4530 ,$33.45 ,$33.45 ,"241UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR2.5,N,10,Never,782634507161,DX,65.00%, $15.76 , $5.5160 ,$5.52 ,$5.52 ,RK5 250V TIME-DELAY FUSE,,,,,,,,,,
ECNR25,S,10,Never,782634507338,DX,65.00%, $10.02 , $3.5070 ,$3.51 ,$3.51 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
