"ARLINGTON INDUSTRIES, INC.",,,,,,,,,,,,,,
DISTRIBUTOR NET PRICE SHEET,,,,,,,,,,,,,,
"EFFECTIVE JULY 1, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,ITEM #,DESCRIPTION,UPC,UNIT,STD, PRICE / C ,,,,,,,,
73,40900ST,90 DEG SNAP2IT CONNECT,01899704099,25,250, $87.52 ,,,,,,,,
73,40A,SNAP2IT INS. W/LOCKNUT,01899748015,50,500, $87.35 ,,,,,,,,
73,40AST,SNAP2IT SNAP IN CONNEC,01899700041,50,500, $87.35 ,,,,,,,,
73,40RAST,SNAP2IT RETROFIT CON,01899713587,25,25, $92.95 ,,,,,,,,
73,40RASTG,SNAP2IT RETROFIT CONNE,01899722091,25,25, $178.24 ,,,,,,,,
32,410,"4"" CONDUIT LOCKNUT",01899700410,25,25, $373.82 ,,,,,,,,
32,411,"5"" CONDUIT LOCKNUT",01899700411,10,10," $1,982.39 ",,,,,,,,
111,4110ST,SNAP 2 IT CONNECTOR,01899700728,50,500, $98.11 ,,,,,,,,
32,412,"6"" CONDUIT LOCKNUT",01899700412,10,10," $3,398.39 ",,,,,,,,
111,4141107ST,SNAP2IT SNAP IN DUPLEX,01899722095,1,25, $258.24 ,,,,,,,,
111,414110ST,SNAP2IT SNAP IN DUPLEX,01899700729,25,100, $248.58 ,,,,,,,,
21,4200,"3/8"" 2 SCREW FLEX CONN",01899704200,25,25, $231.83 ,,,,,,,,
21,4201,"1/2"" 2-SCREW FLEX CONN",01899704201,25,250, $172.40 ,2.84,,,,,,,
21,4201A,"1/2"" 2-SCW FLEX CN INS",01899704208,25,250, $189.73 ,,,,,,,,
21,4202,"3/4"" 2-SCREW FLEX CONN",01899704202,20,200, $203.06 ,3.32,,,,,,,
21,4202A,"3/4"" 2-SCW FLEX CN INS",01899714202,20,200, $235.52 ,,,,,,,,
21,4203,"1"" 2-SCREW FLEX CONN",01899704203,10,50, $337.15 ,,,,,,,,
21,4203A,"1"" INS 2-SCREW FL CON",01899704206,10,50, $369.62 ,,,,,,,,
21,4204,"1-1/4""2-SCREW FLEX CON",01899704204,5,25, $574.67 ,,,,,,,,
