Item,Item Description,"Plat Plus 
Net Price",Cost Unit of Measure,STD PACK Qty,Bag QTY, Weight per 100 , Suggested Trade , Suggested Retail Price ,Stocking Indicator,ABC Code,Class,NAED/UPC Number,UNSPSC,Brand,,,,,,
10-PC4,PushGard Push in Connector 4P ort 100 pc/JAR 5 Boxes/Mast   ,$13.88,BX,5,100, 78.2 ,$18.00,$20.00,N ,D  ,STC,032076057565,39121445       ,Gardner Bender,,,,,,
10-PC8,PushGard Push In Connector 8P ort 50 pc/JAR 6 Boxes/Maste   ,$13.46,BX,10,50, 54.5 ,$17.45,$19.39,N ,D  ,STC,032076057589,39121445       ,Gardner Bender,,,,,,
10-SL,Push-Gard Push In Splice Connector 100/box 5 Boxes/Master   ,$16.23,BX,5,100, 40.0 ,$32.46,$36.07,N ,D  ,SIC,032076939786,39121445       ,Gardner Bender,,,,,,
1103N,CO2 Cylinder 5# Capacity  1/Box  1Boxs/Master               ,$610.46,BX,1,1," 1,820.0 ",$791.87,$879.85,N ,D  ,FSA,032076306090,12142104       ,Gardner Bender,,,,,,
1105A,Operating Valve Assy w/12ftHose 1/Box                       ,$477.27,BX,1,1, 360.0 ,$619.10,$687.89,N ,D  ,FSA,032076038861,27113101       ,Gardner Bender,,,,,,
1136,Straight Adapter (1215) Rubber Cone                         ,$26.86,EA,1,1, 2.5 ,$34.84,$38.71,N ,D  ,FSA,032076308100,40142613       ,Gardner Bender,,,,,,
1137,Straight Adapter (1216) Rubber Cone                         ,$57.49,EA,1,1, 35.0 ,$74.56,$82.85,N ,D  ,FSA,032076308117,40142613       ,Gardner Bender,,,,,,
1142,Angle Adapter  1/Box  1Boxs/Master                          ,$38.34,BX,1,1, 5.3 ,$49.73,$55.26,N ,D  ,FSA,032076306182,47121803       ,Gardner Bender,,,,,,
12-001,WireGard Gray GB-1 25000/Box   1Boxs/Master                 ,$509.90,BX,1,25000," 2,630.6 ",$661.42,$734.92,N ,D  ,STC,032076120016,39121445       ,Gardner Bender,,,,,,
12-002,WireGard Blue GB-2 10000/Box   1Boxs/Master                 ,$241.03,BX,1,10000," 1,740.0 ",$312.66,$347.40,N ,D  ,STC,032076120023,39121445       ,Gardner Bender,,,,,,
12-002BU,WireGard Blue GB-2 96000/Bar  rel                           ,"$1,958.02",BL,1,96000," 15,599.9 ","$2,539.87","$2,822.08",N ,D  ,STC,032076120122,39121445       ,Gardner Bender,,,,,,
12-003BU,WireGard Orange GB-3 53000/B  arrel                         ,"$1,474.06",BL,1,53000," 13,400.0 ","$1,912.10","$2,124.55",N ,D  ,STC,032076120139,39121445       ,Gardner Bender,,,,,,
12-004BU,WireGard Yellow GB-4 32400/B  arrel                         ,"$1,021.30",BL,1,32400," 17,400.1 ","$1,324.80","$1,472.00",N ,D  ,STC,032076120146,39121445       ,Gardner Bender,,,,,,
12-006BU,WireGard Red GB-6 21000/Barr  el                            ,$778.77,BL,1,21000," 16,999.9 ","$1,010.19","$1,122.43",N ,D  ,STC,032076120160,39121445       ,Gardner Bender,,,,,,
1206,Large CO2 Seal-off 1-1/2in - 6in 1/Box 1Boxs/Master         ,$235.47,BX,1,1, 511.3 ,$305.43,$339.37,N ,D  ,FSA,032076306250,20121423       ,Gardner Bender,,,,,,
1208,CO2 Cylinder 20# Capacity   1/Box  1Boxs/Master             ,$409.87,BX,1,1," 5,355.0 ",$531.66,$590.74,N ,D  ,FSA,032076306106,12142104       ,Gardner Bender,,,,,,
12-084BU,WingGard ULTRA Yellow #84 42  000/Barrel                    ,"$1,090.28",BL,1,42000," 22,500.2 ","$1,414.27","$1,571.41",N ,D  ,WIC,032076121846,39121445       ,Gardner Bender,,,,,,
