"MORRIS PRICING EFFECTIVE May 13, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bar Code#,key,UNSPS Code,Page#,Morris Cat #,Min Piece   Order Qty,Item Description,Price Per,Broken Case Price,PVC Cement                                 1-19 Cases                            Ships UPS,PVC Cement            Pickup/Will Call,PVC Cement                     20+ Cases                  Assorted ,Qty Per Case,,,,,,,
142,601986100120,144110,26121638,D17,10012,100,22-16 #6 Vinyl Ins Ring Term,Piece,0.0861,,,,,,,,,,,
143,601986100120B,144110,26121638,D17,10012B,1000,22-16 #6 Vinyl Ring Term,Piece,0.0776,,,,,,,,,,,
144,601986100144,144110,26121638,D17,10014,100,22-16 #8 Vinyl Ins Ring Term,Piece,0.0861,,,,,,,,,,,
145,601986100144B,144110,26121638,D17,10014B,1000,22-16 #8 Vinyl Ring Term,Piece,0.0776,,,,,,,,,,,
146,601986100168,144110,26121638,D17,10016,100,22-16 #10 Vinyl Ins Ring Term,Piece,0.0861,,,,,,,,,,,
147,601986100168B,144110,26121638,D17,10016B,1000,22-16 #10 Vinyl Ring Term,Piece,0.0776,,,,,,,,,,,
148,601986100182,144110,26121638,D17,10018,100,22-16 1/4 Vinyl Ins Ring Term,Piece,0.1207,,,,,,,,,,,
149,601986100205,144110,26121638,D17,10020,100,22-16 5/16 Vinyl Ins Ring Term,Piece,0.1207,,,,,,,,,,,
150,601986100229,144110,26121638,D17,10022,100,22-16 3/8 Vinyl Ins Ring Term,Piece,0.1405,,,,,,,,,,,
151,601986100236,144110,26121638,D17,10023,100,22-16 1/2 Vinyl Ins Ring Term,Piece,0.2356,,,,,,,,,,,
152,601986100243,144110,26121638,D17,10024,100,22-16 9/16 Vinyl Ins Ring Term,Piece,0.4127,,,,,,,,,,,
153,601986100267,144110,26121638,D17,10026,100,22-16 5/8 Vinyl Ins Ring Term,Piece,0.4127,,,,,,,,,,,
154,601986100281,144110,26121638,D17,10028,100,22-16 3/4 Vinyl Ins Ring Term,Piece,0.4127,,,,,,,,,,,
155,601986100304,144110,26121638,D17,10030,100,16-14#4 Vinyl Ins Ring Term,Piece,0.0827,,,,,,,,,,,
156,601986100328,144110,26121638,D17,10032,100,16-14 #6 Vinyl Ins Ring Term,Piece,0.0961,,,,,,,,,,,
157,601986100328B,144110,26121638,D17,10032B,1000,16-14 #6 Vinyl Ins Ring Term,Piece,0.0865,,,,,,,,,,,
158,601986100342,144110,26121638,D17,10034,100,16-14 #8 Vinyl Ins Ring Term,Piece,0.0961,,,,,,,,,,,
159,601986100342B,144110,26121638,D17,10034B,1000,16-14 #8 Vinyl Ins Ring Term,Piece,0.0865,,,,,,,,,,,
160,601986100366,144110,26121638,D17,10036,100,16-14 #10 Vinyl Ins Ring Term,Piece,0.0961,,,,,,,,,,,
161,601986100366B,144110,26121638,D17,10036B,1000,16-14 #10 Vinyl Ins Ring Term,Piece,0.0865,,,,,,,,,,,
162,601986100380,144110,26121638,D17,10038,100,16-14 1/4 Vinyl Ins Ring Term,Piece,0.1233,,,,,,,,,,,
163,601986100380B,144110,26121638,D17,10038B,1000,16-14 1/4 Vinyl Ins Ring Term,Piece,0.1110,,,,,,,,,,,
164,601986100403,144110,26121638,D17,10040,100,16-14 5/16 Vinyl Ins Ring Term,Piece,0.1233,,,,,,,,,,,
165,601986100427,144110,26121638,D17,10042,100,16-14 3/8 Vinyl Ins Ring Term,Piece,0.1446,,,,,,,,,,,
166,601986100441,144110,26121638,D17,10044,100,16-14 1/2 Vinyl Ins Ring Term,Piece,0.2428,,,,,,,,,,,
167,601986100465,144110,26121638,D17,10046,100,16-14 9/16 Vinyl Ins Ring Term,Piece,0.4404,,,,,,,,,,,
168,601986100489,144110,26121638,D17,10048,100,16-14 5/8 Vinyl Ins Ring Term,Piece,0.4404,,,,,,,,,,,
169,601986100502,144110,26121638,D17,10050,100,16-14 3/4 Vinyl Ins Ring Term,Piece,0.4404,,,,,,,,,,,
170,601986100601,144110,26121638,D17,10060,100,12-10 #6 Vinyl Ins Ring Term,Piece,0.1211,,,,,,,,,,,
171,601986100625,144110,26121638,D17,10062,100,12-10 #8 Vinyl Ins Ring Term,Piece,0.1211,,,,,,,,,,,
172,601986100649,144110,26121638,D17,10064,100,12-10 #10 Vinyl Ins Ring Term,Piece,0.1448,,,,,,,,,,,
173,601986100649B,144110,26121638,D17,10064B,500,12-10 #10 Vinyl Ins Ring Term,Piece,0.1304,,,,,,,,,,,
