Item Number,UPC Code,List Price Per 100,Net Price Per 100,Carton Qty,Carton Wt,Description,,,,,,,
9364-BHK,10085339881138,675.40,434.35,24,29.04,CEILING BOX BR HNGR K KLAMPS,,,,,,,
9364-FANB,10085339990250,"1,810.01","1,164.02",20,27.00,FAN BOX 15CU NEW WORK BAR BULK,,,,,,,
9364-FRBKOW,10085339704246,"4,376.25","2,814.37",20,48.00,OLD WORK BAR FAN BOX 15.0CU.,,,,,,,
9364-K,10085339106224,224.67,144.48,50,25.00,CEILING BOX 15.0CU,,,,,,,
9364-KFR,10085339106200,660.15,424.55,50,20.00,FAN BOX 15CU KLAMP FAN RATED,,,,,,,
9365-NK,10085339753916,234.01,150.49,50,21.00,CEILING BOX 15.0CU.,,,,,,,
9366-EWK,10085339770029,405.29,260.64,100,34.00,SINGLE GANG 18.0CU.,,,,,,,
9368-EK,10085339760037,233.27,150.02,100,32.00,SINGLE GANG 18.0CU.,,,,,,,
9368-EWK,10085339760013,349.72,224.91,100,34.00,SINGLE GANG 18.0CU.,,3.88,4.29,,,,
9369-FB,10085339765001,"1,095.19",704.31,25,11.00,FAN BOX 16.0CU.,,,,,,,
9369-FRBKB,10085339997396,"1,991.01","1,280.42",20,27.20,FAN BOX 16.0 CU,,,,,,,
9370-FR,10085339766008,449.27,288.93,24,5.76,FAN BOX 8 CU,,,,,,,
9371-FRV,10085339927058,888.11,571.14,24,8.40,FAN BOX 12.0 CU,,,,,,,
9372-NMHK,10085339106835,367.43,236.30,48,24.96,TWO GANG 30CU,,,,,,,
9373-FR,10085339782541,969.95,400.19,40,16.00,FAN BOX 16.5CU.,,,,,,,
9375-FR,10085339792915,905.28,368.14,24,6.96,FAN BOX 14.0 CU. IN.,,8.55,,,,,
9380-FANB,10085339975899,"1,407.49",905.16,12,25.44,FAN BOX METAL 4 INCH ROUND ON A BAR,,,,,,,
9380-FR,10085339975882,563.11,362.14,24,12.96,FAN BOX  METAL 4 INCH ROUND,,,,,,,
AC9500,10085339095009,676.69,435.18,20,11.00,SIDING BOX,,,,,,,
AC9500BULK,10085339095030,644.47,414.46,50,28.00,SIDING BOX BULK PACKED,,,,,,,
FB-1,10085339941238,"5,395.75","3,470.01",6,8.40,FLOOR BOX RECT. SIMPLEX DEV BRASS,,,,,,,
FB-1CVR,10085339941313,"3,275.99","2,456.99",1,0.54,FLOOR BOX SIMPLEX BRASS COVER,,,,,,,
FB-1N,10085339941283,"6,166.57","3,965.72",6,8.40,FLOOR BOX RECT SIMPLEX DEV NICKEL,,,,,,,
FB-1NCVR,10085339941320,"3,757.75","2,818.31",1,0.54,FLOOR BOX SIMPLEX NICKEL COVER,,,,,,,
FB-2,10085339941245,"6,166.57","3,965.72",6,8.58,FLOOR BOX RECT. DUPLEX DEV BRASS,,,,,,,
FB-2CVR,10085339941337,"3,661.41","2,746.06",1,0.64,FLOOR BOX DUPLEX BRASS COVER,,,,,,,
FB-2DB,10085339996016,"8,152.93","5,243.15",6,8.58,FLOOR BOX RECT. DUPLEX DARK BRONZE,,,,,,,
FB-2DBCVR,10085339996023,"4,609.62","3,457.21",1,0.64,FLOOR BOX DUPLEX DARK BRONZE COVER,,,,,,,
FB-2N,10085339941290,"6,937.39","4,461.44",6,8.58,FLOOR BOX RECT DUPLEX DEV NICKEL,,,,,,,
FB-2NCVR,10085339941344,"4,143.17","3,107.38",1,0.64,FLOOR BOX DUPLEX  NICKEL COVER,,,,,,,
FB-2RI,10085339984594,"2,408.21","1,806.16",6,0.00,FLOOR BOX RECT. DUPLEX ROUGH IN KIT,,,,,,,
FB-3,10085339941252,"6,937.39","4,461.44",6,9.60,FLOOR BOX ROUND DUPLEX BRASS,,,,,,,
FB-3CVR,10085339941351,"3,661.41","2,746.06",1,0.74,FLOOR BOX ROUND BRASS COVER,,,,,,,
FB-3DB,10085339996030,"8,708.82","5,600.64",6,9.60,FLOOR BOX ROUND DUPLEX DARK BRONZE,,,,,,,
FB-3DBCVR,10085339996047,"4,682.37","3,511.78",1,0.74,FLOOR BOX ROUND DUPLEX  DARK BRONZE,,,,,,,
FB-3N,10085339941306,"7,708.22","4,957.16",6,9.60,FLOOR BOX ROUND DUPLEX DEV NICKEL,,,,,,,
FB-3NCVR,10085339941368,"4,143.17","3,107.38",1,0.74,FLOOR BOX ROUND NICKEL COVER,,,,,,,
FB-3RI,10085339984600,"2,785.15","2,088.87",6,0.00,FLOOR BOX ROUND DUPLEX ROUGH-IN KIT,,,,,,,
FB-4,10085339990724,"8,740.28","5,620.87",6,11.70,FLOOR BOX ROUND DUPLEX LOW VOLTAGE BRASS,,,,,,,
FB-4CVR,10085339990786,"4,719.75","3,539.81",1,0.95,FLOOR BOX ROUND DUPLEX LOW VOLTAGE COVER BRASS,,,,,,,
FB-4DB,10085339990731,"10,313.53","6,632.63",6,11.70,FLOOR BOX ROUND DUPLEX LOW VOLTAGE DARK BRONZE,,,,,,,
FB-4DBCVR,10085339990793,"5,943.39","4,457.54",1,0.95,FLOOR BOX ROUND DUPLEX LOW VOLTAGE COVER DARK BRONZE,,,,,,,
FB-4N,10085339990748,"9,439.50","6,070.54",6,11.70,FLOOR BOX ROUND DUPLEX LOW VOLTAGE NICKEL,,,,,,,
FB-4NCVR,10085339990809,"5,244.16","3,933.12",1,0.95,FLOOR BOX ROUND DUPLEX LOW VOLTAGE COVER DARK NICKEL,,,,,,,
FB-4RI,10085339984617,"3,025.46","2,269.09",6,0.00,FLOOR BOX ROUND DUPLEX LOW VOLTAGE ROUGH-IN KIT,,,,,,,
FB-5,10085339990755,"9,614.31","6,182.96",6,13.56,FLOOR BOX DOUBLE GANGE DECOR LOW VOLTAGE BRASS,,,,,,,
FB-5CVR,10085339990816,"4,894.56","3,670.92",1,1.00,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE COVER BRASS,,,,,,,
FB-5DB,10085339990762,"11,187.55","7,194.71",6,13.56,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE DARK BRONZE,,,,,,,
FB-5DBCVR,10085339990823,"6,992.23","5,244.17",1,1.10,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE COVER DARK BRONZE,,,,,,,
FB-5N,10085339990779,"10,313.53","6,632.63",6,13.56,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE NICKEL,,,,,,,
FB-5NCVR,10085339990830,"5,593.78","4,195.34",1,1.10,FLOOR BOX DOUBLE GANG DECOR LOW VOLTAGE COVER NICKEL,,,,,,,
FB-6,10085339972331,"6,642.61","4,271.86",6,10.20,FLOOR BOX RECT DECOR DEV FLIP LID BRASS,,,,,,,
FB-6CVR,10085339972423,"4,078.22","3,058.67",1,1.00,FLOOR BOX RECT DECOR FLIP LID BRASS COVER,,,,,,,
FB-6DB,10085339972355,"9,439.50","6,070.54",6,10.20,FLOOR BOX RECT DECOR DEV FLIP LID DARK BRONZE,,,,,,,
FB-6DBCVR,10085339972447,"5,945.13","4,458.85",1,1.00,FLOOR BOX RECT DECOR FLIP LID DARK BRONZE COVER,,,,,,,
FB-6N,10085339972348,"7,691.45","4,946.37",6,10.20,FLOOR BOX RECT DECOR DEV FLIP LID NICKEL,,,,,,,
FB-6NCVR,10085339972430,"4,884.07","3,663.05",1,1.00,FLOOR BOX RECT DECOR FLIP LID NICKEL COVER,,,,,,,
FB-6RI,10085339984624,"2,460.05","1,845.04",6,0.00,FLOOR BOX RECT DECOR DEV FLIP LID ROUGH-IN KIT,,,,,,,
FB-7,10085339972362,"7,167.02","4,609.11",6,10.98,FLOOR BOX ROUND FLIP LID BRASS,,,,,,,
FB-7CVR,10085339972454,"4,090.45","3,067.84",1,1.00,FLOOR BOX ROUND FLIP LID BRASS COVER,,,,,,,
FB-7DB,10085339972386,"9,089.88","5,845.70",6,10.98,FLOOR BOX ROUND FLIP LID DARK BRONZE,,,,,,,
FB-7DBCVR,10085339972478,"5,223.18","3,917.39",1,1.00,FLOOR BOX ROUND FLIP LID DARK BRONZE COVER,,,,,,,
