Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1258-BU/20,1258 Recp W/O Mounting Screws BR,$11.95,$8.60,0.72,PE,W8,Power Receptacles,32,,0,032664626876,,,,,,
1258-BU;3,Recp Sgl Flush 50A125/250V ShortStrap BK,$11.95,$8.60,0.72,PE,W8,Power Receptacles,32,,0,032664575501,,,,,,
1258-SP,Recp Single Flush 50A 125/250V 3P4W BK,$8.22,$5.92,0.72,PE,W8,Power Receptacles,12,,0,032664306907,4.19,,,,,
1263-BOX,Recp Single Flush 30A 125V 2P3W BK,$8.53,$6.14,0.72,PE,W8,Power Receptacles,25,,0,032664307003,,,,,,
1263-SP/20,1263 Recp W/O Mounting Screws BK,$9.66,$6.96,0.72,PE,W8,Power Receptacles,30,,0,032664626883,,,,,,
1264-BOX,Adaptor NEMA TT30 Recp to 5-15/5-20 Plug,$19.26,$15.02,0.78,PE,YV,Power P&C,50,10,0,032664307201,,,,,,
1301-73A,1301-7A W/O Ears Grd,$1.42,$1.35,0.95,PE,WE,Residential Switches,84,,0,032664601286,,,,,,
1301-73B,1301-7B W/O Ears Grd,$1.42,$1.35,0.95,PE,WE,Residential Switches,84,,0,032664601835,,,,,,
1301-73BK,1301-7BK W/O Ears Grd,$1.42,$1.35,0.95,PE,WE,Residential Switches,84,,84,032664745416,,,,,,
1301-73LA,1301-7LA W/O Ears Grd,$1.42,$1.35,0.95,PE,WE,Residential Switches,84,,0,032664601842,,,,,,
1301-73W,1301-7W W/O Ears Grd,$1.42,$1.35,0.95,PE,WE,Residential Switches,84,,0,032664601866,,,,,,
1301-7A,Switch Toggle SP 15A 120V Grd AL,$0.92,$0.56,Net Price,PE,WE,Residential Switches,100,10,0,032664543753,,,,,,
1301-7B,Switch Toggle SP 15A 120V Grd BR,$0.92,$0.56,Net Price,PE,WE,Residential Switches,100,10,0,032664149108,,,,,,
1301-7BK,Switch Toggle SP 15A 120V Grd BK,$0.92,$0.56,Net Price,PE,WE,Residential Switches,100,10,0,032664745393,,,,,,
1301-7BK-SP-L,Switch Toggle SP 15A 120V Grd BK,$0.92,$0.87,0.95,PE,WE,Residential Switches,12,,0,032664752674,,,,,,
1301-7LA,Switch Toggle SP 15A 120V Grd LA,$0.92,$0.56,Net Price,PE,WE,Residential Switches,100,10,0,032664750892,,,,,,
1301-7LA-10-L,Switch Toggle SP 15A 120V Grd LA 10 pack,$9.26,$8.80,0.95,PE,WE,Residential Switches,5,,10,032664749650,,,,,,
