Manufacturer,UPC,Catalog Number,Description,Carton QTY,Unit Measure, List Price , Net Price ,Special Net Price,Special Net Price 2,Special Net Price 3
A&G,,458,"3"" MALLEABLE IRON STRAP",20,C, $885.50 , $442.75 ,,,
A&G,,459,"3 1/2"" MALLEABLE IRON STRAP",10,C," $1,113.20 ", $556.60 ,,,
A&G,,460,"4"" MALLEABLE IRON STRAP",10,C," $1,973.40 ", $986.70 ,,,
A&G,,461,"1/2"" MI CLAMP BACK",100,C, $69.58 , $34.79 ,,,
A&G,,462,"3/4"" MI CLAMP BACK",100,C, $70.84 , $35.42 ,,,
A&G,,463,"1"" MI CLAMP BACK",50,C, $116.38 , $58.19 ,,,
A&G,,464,"1 1/4"" MI CLAMP BACK",50,C, $166.98 , $83.49 ,,,
A&G,,465,"1 1/2"" MI CLMAP BACK",25,C, $212.12 , $106.06 ,,,
A&G,,466,"2"" MI CLAMP BACK",20,C, $349.14 , $174.57 ,,,
A&G,,467,"2 1/2"" MI CLAMP BACK",20,C, $629.98 , $314.99 ,,,
A&G,,468,"3"" MI CLAMP BACK",20,C, $991.76 , $495.88 ,,,
A&G,,469,"3 1/2"" MI CLAMP BACK",10,C," $1,333.00 ", $666.50 ,,,
A&G,,470,"4"" MI CLAMP BACK",10,C," $1,821.60 ", $910.80 ,,,
A&G,,501,"1/2"" RIGID PLASTIC BUSHING",100,C, $8.00 , $4.00 ,,,
A&G,,502,"3/4"" RIGID PLASTIC BUSHING",100,C, $11.88 , $5.94 ,,,
A&G,,503,"1"" RIGID PLASTIC BUSHING",100,C, $17.28 , $8.64 ,,,
A&G,,504,"1 1/4"" RIGID PLASTIC BUSHING",50,C, $25.38 , $12.69 ,,,
A&G,,505,"1 1/2"" RIGID PLASTIC BUSHING",50,C, $30.24 , $15.12 ,,,
A&G,,506,"2"" RIGID PLASTIC BUSHING",50,C, $54.00 , $27.00 ,,,
A&G,,507,"2 1/2"" RIGID PLASTIC BUSHING",25,C, $86.40 , $43.20 ,,,
A&G,,508,"3"" RIGID PLASTIC BUSHING",25,C, $99.36 , $49.68 ,,,
A&G,,509,"3 1/2"" RIGID PLASTIC BUSHING",20,C, $140.40 , $70.20 ,,,
A&G,,510,"4"" RIGID PLASTIC BUSHING",20,C, $144.72 , $72.36 ,,,
A&G,,511,"5"" RIGID PLASTIC BUSHING",10,C, $756.00 , $378.00 ,,,
A&G,,512,"6"" RIGID PLASTIC BUSHING",10,C," $1,231.20 ", $615.60 ,,,
A&G,,513,"1/2"" EMT PLASTIC BUSHING",100,C, $8.10 , $4.05 ,,,
A&G,,514,"3/4"" EMT PLASTIC BUSHING",100,C, $12.42 , $6.21 ,,,
A&G,,515,"1"" EMT PLASTIC BUSHING",100,C, $38.88 , $19.44 ,,,
A&G,,516,"1 1/4"" EMT PLASTIC BUSHING",50,C, $71.28 , $35.64 ,,,
A&G,,517,"1 1/2"" EMT BUSHING",50,C, $86.40 , $43.20 ,,,
A&G,,518,"2"" EMT PLASTIC BUSHING",50,C, $129.60 , $64.80 ,,,
A&G,,519,"2 1/2"" EMT PLASTIC BUSHING",50,C, $313.20 , $156.60 ,,,
A&G,,520,"3"" EMT PLASTIC BUSHING",50,C, $356.40 , $178.20 ,,,
A&G,,521,"3 1/2"" EMT PLASTIC BUSHING",50,C, $378.00 , $189.00 ,,,
A&G,,522,"4"" EMT PLASTIC BUSHING",50,C, $399.60 , $199.80 ,,,
A&G,,525,"0-B 1/2"" CONDUIT HANGER",100,C, $45.30 , $22.65 ,,,
A&G,,526,"1-B 3/4"" CONDUIT HANGER",50,C, $49.98 , $24.99 ,,,
A&G,,527,"2-B 1"" CONDUIT HANGER",50,C, $54.70 , $27.35 ,,,
A&G,,528,"2 1/2"" -B  1 1/4"" EMT CONDUIT HANGER",50,C, $63.36 , $31.68 ,,,
